_id,Ignition_Source,Estimated_Dollar_Loss,Total_Clear_Time,Alarm_Date,Latitude,Longitude
190322,smoker's article,500,30,42911,43.69009,-79.34537
190436,appliance,2000,30,42853,43.63995,-79.39563
190441,appliance,20000,56,42933,43.6612,-79.35816
190455,appliance,1000,23,42877,43.77969,-79.25124
190458,candle,100,29,42855,43.70733,-79.39549
190460,candle,2000,80,42827,43.72741,-79.26592
190503,appliance,2000,20,42788,43.72815,-79.52023
190508,appliance,300,29,42895,43.78334,-79.44832
190580,appliance,1000,37,42759,43.75714,-79.49909
190584,smoker's article,1500,57,42959,43.71261,-79.39178
190587,smoker's article,500,59,42972,43.7451,-79.21973
190603,appliance,60000,125,43011,43.63744,-79.40268
190604,smoker's article,600,33,43019,43.66336,-79.38678
190608,appliance,10000,83,42805,43.70385,-79.44175
190630,appliance,10000,31,42814,43.69871,-79.33987
190658,smoker's article,0,57,42842,43.6673,-79.37378
190678,smoker's article,100,50,42843,43.64807,-79.39968
190690,appliance,5000,35,42912,43.76823,-79.38117
190691,candle,0,24,42845,43.72469,-79.55229
190697,appliance,1000,28,42770,43.74479,-79.24472
190812,appliance,3800,59,42891,43.67477,-79.27875
190813,smoker's article,0,16,42821,43.69737,-79.39647
190822,smoker's article,200,29,42904,43.66283,-79.37976
190865,smoker's article,100,30,42736,43.65536,-79.37392
190880,smoker's article,100,75,42737,43.67813,-79.30118
190881,electronic wiring,1500,48,42737,43.69608,-79.29514
190899,appliance,1000,29,42786,43.75636,-79.48922
190915,appliance,2000,41,42859,43.74371,-79.50154
190918,smoker's article,100,41,42792,43.65351,-79.36854
190921,smoker's article,200,39,42916,43.67026,-79.37041
190923,electronic wiring,500,34,42881,43.67247,-79.37589
190931,smoker's article,0,20,42930,43.66242,-79.35869
190981,appliance,2000,92,42797,43.74429,-79.59537
191009,smoker's article,500,37,42802,43.79727,-79.32552
191045,appliance,1500,42,42998,43.66809,-79.3701
191046,smoker's article,1000,22,43002,43.77608,-79.41297
191070,smoker's article,1000,62,42952,43.70385,-79.44175
191071,appliance,2000,36,42852,43.65705,-79.44893
191080,appliance,500,27,42995,43.66982,-79.40076
191081,appliance,5000,95,43004,43.66629,-79.37835
191083,appliance,1000,44,43010,43.7515,-79.31302
191084,appliance,300,65,43015,43.65432,-79.37877
191085,appliance,50,30,43020,43.7601,-79.58612
191451,candle,500,30,43025,43.67511,-79.40598
191815,appliance,1000,17,42931,43.74726,-79.40222
191956,appliance,50,214,42977,43.71909,-79.32829
192028,smoker's article,6,9,43070,43.63873,-79.43661
192036,appliance,50000,109,42910,43.6614,-79.37144
192059,smoker's article,15000,66,42840,43.81195,-79.22092
192271,smoker's article,1000,165,42808,43.66763,-79.37221
192343,appliance,0,134,42764,43.65138,-79.407
192375,appliance,15,48,42819,43.79081,-79.45303
192377,appliance,1000,32,42858,43.69871,-79.33987
192600,appliance,50000,80,42869,43.8213,-79.20514
192653,appliance,1000,33,43041,43.64537,-79.4132
192727,smoker's article,10000,4,43068,43.68228,-79.33272
192940,electronic wiring,500,34,42871,43.7784,-79.4173
193260,smoker's article,100000,90,42816,43.65909,-79.36969
193364,smoker's article,0,29,42777,43.69943,-79.47597
193464,smoker's article,1000,47,42874,43.60335,-79.49839
193560,appliance,500,52,42928,43.67505,-79.31873
193682,appliance,10000,50,43060,43.79835,-79.23712
193773,candle,500,48,43096,43.69329,-79.45415
193836,smoker's article,1,16,42784,43.66629,-79.37835
193845,smoker's article,3000,24,42845,43.64193,-79.44735
193908,candle,5000,73,42915,43.64647,-79.40376
194192,appliance,0,12,43025,43.65675,-79.39959
194346,candle,100000,157,42792,43.65516,-79.41903
194730,appliance,20000,61,42931,43.70546,-79.49187
194777,appliance,500,151,42834,43.78357,-79.13125
194928,smoker's article,110000,122,42835,43.6701,-79.41318
195072,appliance,15000,92,42925,43.76667,-79.22185
195129,electronic wiring,50000,84,42803,43.64989,-79.4356
195252,appliance,5000,68,42963,43.75623,-79.58835
195281,smoker's article,7000,45,42972,43.6633,-79.3609
195282,candle,1000,36,42975,43.67587,-79.40749
